fold,subject,loss,mae,mape,CLASSIFICADOR,FILTERS,KERNEL_SIZES,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,DROPOUT_RATE,USE_POOLING,combination_id,execution_time
1,0,1209.2285569092962,29.668826424626186,0.2582128117203284,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
2,1,1132.369241693213,31.302290923378685,0.3935725310633029,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
3,2,73.3975357866604,6.785206349494828,0.08093576555832568,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
4,3,522.8848062499492,19.636421193536417,0.20760834409771187,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
5,4,212.53608614518348,11.771817956367205,0.11872345744299054,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
6,5,336.2399423737005,14.320208356543574,0.16407384110383677,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
7,6,110.1640196112287,8.167931617060795,0.09146892266732595,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
8,7,327.4106099547234,15.213117940366761,0.20614185936228036,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,True,1,92.81578016281128
1,0,1022.3327609150726,26.680973014916127,0.22715043391413076,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
2,1,1063.9286538965316,29.978974603306163,0.3776723766484177,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
3,2,113.31779643727106,8.55304864668883,0.09608606091211885,CNN1D,"(64, 32)","(5,)","(64,)",16,0.001,50,relu,adam,0.0,False,2,122.61712408065796
