fold,subject,loss,mae,mape,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,combination_id,execution_time
1,0,787.1206795596162,22.709520789313476,0.19422783958678666,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
2,1,731.3983957430258,23.151860515421085,0.2952585003656323,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
3,2,183.90745952659938,10.606262489166024,0.11122788273931788,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
4,3,238.38864563601808,11.761164776470736,0.12517456596301654,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
5,4,252.8758796849366,12.69305349846967,0.13040195431662416,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
6,5,748.2482343368894,23.101883749890128,0.28003384103012013,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
7,6,189.9744232770326,10.530909353570094,0.11566528048437118,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
8,7,234.44395034649256,12.208478062606055,0.15919759604078035,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,2,489.741171836853
1,0,732.4552929463633,21.864427426966223,0.18904024311432732,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
2,1,814.7043340185339,24.333833426562222,0.3018724394833849,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
3,2,169.25962874487863,10.201194808246786,0.10658017841819711,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
4,3,245.34889051873185,12.242849087170999,0.1338207355208656,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
5,4,231.9081027674106,11.8917532742328,0.11868094420187612,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
6,5,244.09884575422714,12.06398714890126,0.14158276079684304,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
7,6,185.48342469027904,10.64989467934717,0.11705229449222412,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
8,7,234.38821815621097,12.226853348992087,0.16150679310871252,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,4,668.17626786232
1,0,305.0786350231956,12.945197705947638,0.12261552169283521,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
2,1,235.26197024982346,12.351798164194282,0.14557935544583553,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
3,2,212.36419882959228,11.673073564361902,0.12318740518913458,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
4,3,213.31802015772402,11.335594926964703,0.13501552329711708,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
5,4,150.94181665605902,9.776200332145496,0.10041833377424986,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
6,5,284.334032124695,12.877329505687197,0.14963688607175465,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
7,6,179.5357727448063,10.315740265423738,0.11207451243494614,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
8,7,238.5716426631691,12.597321290615177,0.17352815701499488,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,6,501.2500295639038
1,0,377.8819493747641,15.547067102994728,0.1548430491722406,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
2,1,213.4799823457164,12.041084834879095,0.1439003955627402,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
3,2,142.79505138082953,9.245544379713845,0.10961240044251484,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
4,3,288.31028251177395,12.18950376244591,0.13182516531651578,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
5,4,164.74097278002614,10.470812969854473,0.10895886044873933,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
6,5,238.08976171918175,11.714208765784148,0.13643127395285215,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
7,6,185.92488676575036,10.844463587410843,0.12289139303144592,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
8,7,227.342926121986,12.302368015297187,0.1682647764861938,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,8,555.0701236724854
1,0,454.0436178937108,16.831046629903586,0.14991710701145167,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
2,1,227.25339432361835,12.516348681016403,0.15343347907476637,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
3,2,137.42669241619063,8.929003732658742,0.10326903675836564,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
4,3,2289.6872840763594,13.531198624927718,0.15018662898532265,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
5,4,154.31138402973224,9.930671008863506,0.10195018597016456,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
6,5,525.83881443766,15.672836277798389,0.19494785907775117,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
7,6,175.60288784599283,10.415150893489017,0.11762946658879378,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
8,7,728412245901.9282,27579.684469403684,366.2490059886129,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,9,644.7129406929016
1,0,688.8068688312088,21.014186302997057,0.18280031015445306,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
2,1,910.1797987571064,25.860491806377063,0.31950733178335256,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
3,2,144.24632933039442,9.439684446126176,0.10438227168536465,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
4,3,239.25755252252873,11.108173967717768,0.11377262932141938,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
5,4,234.91749792301175,12.415337467326488,0.12470835411217135,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
6,5,225.2314016433731,11.784010521131254,0.13970581658457756,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
7,6,156.3465556253513,9.613258274899254,0.1070517310157477,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
8,7,223.95571134239785,11.608047224273367,0.14600279318766796,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,10,437.6331207752228
1,0,912.9131009736823,24.411393411936622,0.20821438762811006,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
2,1,772.2589224586992,23.85863853714683,0.3027795423745219,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
3,2,149.61464791434702,9.552521542518274,0.10262131765459526,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
4,3,251.9213588414155,11.692803281298755,0.12204696208545442,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
5,4,266.99851278443236,13.526343050193521,0.14059742218412183,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
6,5,221.16411850096017,11.595208680265335,0.1367033185138388,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
7,6,173.63374277240297,10.275532915622373,0.1134738805424878,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
8,7,226.11616676750924,11.876415009340963,0.1563391215444867,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,12,342.14703011512756
1,0,303.1741302306225,12.828146047444143,0.1213433557316275,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
2,1,371.9238235588609,15.670210184617476,0.1920877323987989,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
3,2,161.510105627612,9.551314577789384,0.10984343873568983,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
4,3,249.37549288490771,12.501892552573299,0.14172822346580294,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
5,4,120.16451922901852,8.456515273658056,0.08552469174469696,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
6,5,223.45562590388664,11.769338034010234,0.1385944358656257,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
7,6,163.6655615341426,9.923103569127335,0.10905948489567832,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
8,7,268.8152551119795,13.18993649305391,0.1776228044685909,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,14,388.1877372264862
1,0,296.3785009268129,12.946915363261017,0.12098914032514714,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
2,1,190.7401007044063,11.320063214735551,0.13554606715894885,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,16,405.0166802406311
