combination_id,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,mean_loss,std_loss,mean_mae,std_mae,mean_mape,std_mape,execution_time,error
1,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,,,,,,,96.38125467300415,Input contains NaN.
2,LSTM,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,420.7947085138263,278.6405933625124,15.84539165436341,5.960523893315547,0.17639843256583115,0.0738309333006607,489.7412533760071,
3,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,,,,,,,186.3056583404541,Input contains NaN.
4,LSTM,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,357.2058421995794,259.3999258443196,14.434349150052444,5.44067568684343,0.15876704864205385,0.06368586923886363,668.176352262497,
5,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,,,,,,,93.65649914741516,Input contains NaN.
6,LSTM,mixed,"(64, 32)","(32,)",16,0.01,25,tanh,adam,227.4257610561331,50.742037720352876,11.734031969417515,1.1897226148953521,0.1327569618651085,0.023252381988660354,501.2501118183136,
7,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,relu,adam,,,,,,,182.4503836631775,Input contains NaN.
8,LSTM,mixed,"(64, 32)","(32,)",16,0.01,50,tanh,adam,229.82072662500354,75.0432041840707,11.794381677297528,1.8406078072232348,0.13459091430165532,0.02090655341878253,555.0702073574066,
9,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,relu,adam,91051531233.26154,257532619088.0677,3458.4388406565427,9746.455452480612,45.90254246900994,129.43952179596764,644.7131025791168,
10,LSTM,mixed,"(64, 32)","(32,)",32,0.001,25,tanh,adam,352.8677144969215,284.18408981305805,14.105398751356052,5.991983283841369,0.15474140473059428,0.07134255099949273,437.6332058906555,
11,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,relu,adam,,,,,,,673.4042694568634,Input contains NaN.
12,LSTM,mixed,"(64, 32)","(32,)",32,0.001,50,tanh,adam,371.82757137668114,295.45995984823355,14.598607053540334,6.00255999136004,0.1603469940659521,0.06605158714176637,342.1471138000488,
13,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,relu,adam,,,,,,,54.98569846153259,Input contains NaN.
14,LSTM,mixed,"(64, 32)","(32,)",32,0.01,25,tanh,adam,232.7605642601288,83.25149341300178,11.73630709153423,2.3356519462175065,0.13447552091331388,0.03599955147152367,388.18782091140747,
15,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,relu,adam,,,,,,,55.62661099433899,Input contains NaN.
16,LSTM,mixed,"(64, 32)","(32,)",32,0.01,50,tanh,adam,243.86113255420517,71.74012779573229,12.129897841791244,1.5060105630411376,0.13603814787641816,0.026681659188553777,405.0167627334595,
17,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,relu,adam,375.2002955558747,322.7795383313237,14.759340004488077,6.503741956773411,0.16548217685149902,0.08423547797249133,1210.4183027744293,
18,GRU,mixed,"(64, 32)","(32,)",16,0.001,25,tanh,adam,358.08976615096583,200.7544027368486,14.926233853884181,4.363902835468191,0.16548569801861607,0.05918173948856452,599.1627819538116,
19,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,relu,adam,409.09275721992617,401.59916884811673,15.420158802359987,7.331383648820142,0.17237119138548782,0.09216864345267112,1412.5733180046082,
20,GRU,mixed,"(64, 32)","(32,)",16,0.001,50,tanh,adam,342.83423193844146,236.22414627261597,14.176718657325784,5.12356956459568,0.1583611117503625,0.06534510855133945,697.5542047023773,
21,GRU,mixed,"(64, 32)","(32,)",16,0.01,25,relu,adam,329.9442877737836,232.84597277620708,13.924575384517892,5.123686674266219,0.15908701987133517,0.06719250612152601,1575.6967332363129,
