n_estimators,learning_rate,max_depth,subsample,colsample_bytree,gamma,min_child_weight,mean_loss,mean_mae,mean_mape,execution_time
100,0.01,4,0.7,0.7,0.0,1,257.2682114887129,12.575322141621076,0.14595818962909285,26.521366357803345
100,0.01,4,0.7,0.7,0.0,3,257.312547050139,12.576507586734232,0.14597318540440918,19.80014419555664
100,0.01,4,0.7,0.7,0.0,5,257.4190311008915,12.577907412026438,0.14597461717117383,19.790319442749023
100,0.01,4,0.7,0.7,0.1,1,257.21610792845365,12.575191031723262,0.145960617574025,20.216023206710815
100,0.01,4,0.7,0.7,0.1,3,257.2419584074109,12.57567016754193,0.14596495033459023,19.959168434143066
100,0.01,4,0.7,0.7,0.1,5,257.4563986849218,12.580053330455707,0.14600524744545512,20.26995611190796
100,0.01,4,0.7,0.7,0.3,1,257.6553864027776,12.582805104942796,0.14612126336006986,20.04660415649414
100,0.01,4,0.7,0.7,0.3,3,257.6606956787239,12.582947977493067,0.1461223943189894,20.03704285621643
100,0.01,4,0.7,0.7,0.3,5,257.68997256308853,12.583739698886047,0.14612824524469956,19.96656060218811
100,0.01,4,0.7,0.8,0.0,1,256.53515082253637,12.563548778638774,0.14616111797789863,20.271753072738647
100,0.01,4,0.7,0.8,0.0,3,256.2112434611489,12.558111587300004,0.1462026198920655,19.987329959869385
100,0.01,4,0.7,0.8,0.0,5,256.24622974962017,12.557884233392924,0.14618362604819646,20.093159198760986
100,0.01,4,0.7,0.8,0.1,1,256.51290255779463,12.56186299178888,0.14617430077307625,20.35305094718933
100,0.01,4,0.7,0.8,0.1,3,256.2599417093163,12.557895590860223,0.1462290482924044,20.115724802017212
100,0.01,4,0.7,0.8,0.1,5,256.2102294492498,12.554348185753678,0.1461504334090506,20.02683162689209
100,0.01,4,0.7,0.8,0.3,1,256.35093362195323,12.558333058688692,0.14616165991906432,19.785424947738647
100,0.01,4,0.7,0.8,0.3,3,256.35879274887293,12.558520661165332,0.1461632062563095,19.575130701065063
100,0.01,4,0.7,0.8,0.3,5,255.82439114801662,12.547214894971992,0.1460746203802717,19.678617238998413
100,0.01,4,0.7,1.0,0.0,1,246.78148062477143,12.335744068955105,0.1446093850839979,22.418878078460693
100,0.01,4,0.7,1.0,0.0,3,246.7867861752843,12.335967610100932,0.1446110683779644,22.212738275527954
100,0.01,4,0.7,1.0,0.0,5,247.0380311096436,12.343834125405328,0.14473680998020372,22.22537899017334
100,0.01,4,0.7,1.0,0.1,1,246.87855831723516,12.340017520012951,0.14468475377031315,22.456058979034424
100,0.01,4,0.7,1.0,0.1,3,246.88305509972008,12.34021650996657,0.14468622487611854,22.140936136245728
100,0.01,4,0.7,1.0,0.1,5,247.06015009649656,12.345451618506747,0.1447863453554426,22.07442808151245
100,0.01,4,0.7,1.0,0.3,1,246.87160020825826,12.337441216683526,0.14467387894203537,21.840630292892456
100,0.01,4,0.7,1.0,0.3,3,246.87498513214018,12.33752230761065,0.14467453455766863,22.108418941497803
100,0.01,4,0.7,1.0,0.3,5,246.9216971492524,12.338663307036953,0.14468709787210854,21.854366779327393
