fold,subject,loss,mae,mape,CLASSIFICADOR,ARCHITECTURE,RECURRENT_LAYERS,DENSE_LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,combination_id,execution_time
1,0,496.8191984703869,16.57881413753704,0.14650405612351042,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
2,1,1209.107810859778,32.537138117009945,0.4114108293794476,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
3,2,91.99109644371421,7.461356559287111,0.08339275445062032,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
4,3,348.94870082370176,15.317480678590595,0.1660559370989878,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
5,4,150.00963171002863,9.939163784730507,0.10057154880595437,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
6,5,242.641099590844,12.184735322681114,0.14403669037176708,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
7,6,105.97581026164121,8.066607435443734,0.0919425948220087,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
8,7,198.1490459690713,11.51141964404051,0.15385008502971387,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.001,50,relu,adam,1,130.26411986351013
1,0,294.76618615244485,13.192151724102757,0.12710342272235797,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
2,1,664.6138370035125,22.713566861586138,0.3041966051599578,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
3,2,95.66170848635744,8.01150831174532,0.0946050695056733,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
4,3,343.30457481588155,13.466520659316927,0.12829470382356434,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
5,4,118.29014408920611,8.513174956198132,0.08387239399682309,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
6,5,610.5353514362654,21.06112973519982,0.2530907626316516,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
7,6,200.72921416874485,10.727990224089805,0.10901682035673876,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
8,7,319.40119040226546,14.469187757200444,0.17348449739590605,CNN1D,pure_recurrent,"(64, 32)","(32,)",16,0.01,50,relu,adam,2,122.86812162399292
1,0,1091.37450857204,29.470371698857413,0.27147143439335564,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
2,1,485.3355436817697,18.59040178038857,0.22788700693965758,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
3,2,209.74490327646834,11.808545885051771,0.11851022054789134,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
4,3,269.3490975900786,11.112079439783944,0.10609104897753455,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
5,4,136.81329227999936,9.322532428789295,0.09358894042580472,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
6,5,121.15911399522312,9.165353763919036,0.11412918200918593,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
7,6,114.76847402283755,8.462238293659837,0.09733133016368267,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
8,7,253.96225585813264,13.309915123892225,0.18125169430720534,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.001,50,relu,adam,3,78.01732587814331
1,0,408.5731913113817,15.66146351334261,0.1432513545664683,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
2,1,516.2761632380538,19.522359851490368,0.2560379295304386,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
3,2,99.80874770507086,7.7382069848780155,0.08793144868916382,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
4,3,200.1857927790947,10.853253548364968,0.11329450173288723,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
5,4,167.53162379259396,10.646975090710772,0.11111282973458761,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
6,5,243.4488358831561,12.392806761592178,0.15339287171185478,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
7,6,165.1925644200098,10.211876694160171,0.11341003332977158,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
8,7,322.9329165393281,15.112457458637962,0.2001688484953615,CNN1D,pure_recurrent,"(64, 32)","(32,)",32,0.01,50,relu,adam,4,63.90501403808594
