fold,subject,loss,mae,mape,LAYERS,BATCH_SIZE,LEARNING_RATE,EPOCHS,ACTIVATION,OPTIMIZER,combination_id,execution_time
1,0,522.706481640174,18.575168529265206,0.1615030661789691,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
2,1,836.945220247056,24.70370614832098,0.2943558896998074,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
3,2,166.882073514057,10.974070229160521,0.12142208102358287,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
4,3,216.94557175695041,11.798423633269103,0.13355645688201429,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
5,4,191.83845286008923,11.486815195220933,0.12110807472808395,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
6,5,447.45812176917195,17.496694979420106,0.2103421002514039,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
7,6,136.04331758912434,9.00360451227502,0.09856699283653844,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
8,7,291.3022307711241,14.062857652498671,0.19513343695742766,"(64, 32)",32,0.001,50,relu,adam,1,82.4824059009552
1,0,522.706481640174,18.575168529265206,0.1615030661789691,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
2,1,836.945220247056,24.70370614832098,0.2943558896998074,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
3,2,166.882073514057,10.974070229160521,0.12142208102358287,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
4,3,216.94557175695041,11.798423633269103,0.13355645688201429,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
5,4,191.83845286008923,11.486815195220933,0.12110807472808395,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
6,5,447.45812176917195,17.496694979420106,0.2103421002514039,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
7,6,136.04331758912434,9.00360451227502,0.09856699283653844,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
8,7,291.3022307711241,14.062857652498671,0.19513343695742766,"(64, 32)",32,0.01,50,relu,adam,2,84.8993775844574
1,0,522.706481640174,18.575168529265206,0.1615030661789691,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
2,1,836.945220247056,24.70370614832098,0.2943558896998074,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
3,2,166.882073514057,10.974070229160521,0.12142208102358287,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
4,3,216.94557175695041,11.798423633269103,0.13355645688201429,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
5,4,191.83845286008923,11.486815195220933,0.12110807472808395,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
6,5,447.45812176917195,17.496694979420106,0.2103421002514039,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
7,6,136.04331758912434,9.00360451227502,0.09856699283653844,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
8,7,291.3022307711241,14.062857652498671,0.19513343695742766,"(64, 32)",64,0.001,50,relu,adam,3,86.07064414024353
1,0,522.706481640174,18.575168529265206,0.1615030661789691,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
2,1,836.945220247056,24.70370614832098,0.2943558896998074,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
3,2,166.882073514057,10.974070229160521,0.12142208102358287,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
4,3,216.94557175695041,11.798423633269103,0.13355645688201429,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
5,4,191.83845286008923,11.486815195220933,0.12110807472808395,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
6,5,447.45812176917195,17.496694979420106,0.2103421002514039,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
7,6,136.04331758912434,9.00360451227502,0.09856699283653844,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
8,7,291.3022307711241,14.062857652498671,0.19513343695742766,"(64, 32)",64,0.01,50,relu,adam,4,86.6847734451294
